Dataset,Method,Mix_Rate,Accuracy
celebA-0,DBAT,0.1,0.7612964510917664
celebA-0,DBAT,0.1,0.8196573257446289
celebA-0,DBAT,0.1,0.7575893998146057
celebA-0,DBAT,0.25,0.8068830966949463
celebA-0,DBAT,0.25,0.8767658472061157
celebA-0,DBAT,0.25,0.7554854154586792
celebA-0,DBAT,0.5,0.7714157104492188
celebA-0,DBAT,0.5,0.8397455215454102
celebA-0,DBAT,0.5,0.733894407749176
celebA-0,DBAT,0.75,0.8248672485351562
celebA-0,DBAT,0.75,0.7997194528579712
celebA-0,DBAT,0.75,0.732792317867279
celebA-0,DBAT,1.0,0.7653040885925293
celebA-0,DBAT,1.0,0.7955114841461182
celebA-0,DBAT,1.0,0.7382526993751526
celebA-0,DivDis,0.1,0.6344554424285889
celebA-0,DivDis,0.1,0.7499248385429382
celebA-0,DivDis,0.1,0.6356577277183533
celebA-0,DivDis,0.25,0.603847324848175
celebA-0,DivDis,0.25,0.624035656452179
celebA-0,DivDis,0.25,0.7542330622673035
celebA-0,DivDis,0.5,0.5824065804481506
celebA-0,DivDis,0.5,0.5942791104316711
celebA-0,DivDis,0.5,0.5886183977127075
celebA-0,DivDis,0.75,0.6336539387702942
celebA-0,DivDis,0.75,0.6308987140655518
celebA-0,DivDis,0.75,0.7585412263870239
celebA-0,DivDis,1.0,0.8599338531494141
celebA-0,DivDis,1.0,0.6944193840026855
celebA-0,DivDis,1.0,0.8096883893013
celebA-0,ERM,0.1,0.8209598064422607
celebA-0,ERM,0.1,0.7915038466453552
celebA-0,ERM,0.1,0.7829375863075256
celebA-0,TopK 0.1,0.1,0.8459072113037109
celebA-0,TopK 0.1,0.1,0.8825268149375916
celebA-0,TopK 0.1,0.1,0.8736098408699036
celebA-0,TopK 0.1,0.25,0.9287646412849426
celebA-0,TopK 0.1,0.25,0.7926560640335083
celebA-0,TopK 0.1,0.25,0.9428414106369019
celebA-0,TopK 0.1,0.5,0.7907023429870605
celebA-0,TopK 0.1,0.5,0.8582807183265686
celebA-0,TopK 0.1,0.5,0.872607946395874
celebA-0,TopK 0.1,0.75,0.8351868391036987
