Dataset,Method,Mix_Rate,Accuracy
celebA-0,TopK 0.1,0.1,0.8856828212738037
celebA-0,TopK 0.1,0.1,0.8809738755226135
celebA-0,TopK 0.1,0.1,0.8674982190132141
celebA-0,TopK 0.1,0.25,0.8196072578430176
celebA-0,TopK 0.1,0.25,0.8083859086036682
celebA-0,TopK 0.1,0.25,0.881524920463562
celebA-0,TopK 0.1,0.5,0.8093878626823425
celebA-0,TopK 0.1,0.5,0.7783288359642029
celebA-0,TopK 0.1,0.5,0.7460675239562988
celebA-0,TopK 0.1,0.75,0.8351868391036987
celebA-0,TopK 0.1,0.75,0.7074441313743591
celebA-0,TopK 0.1,0.75,0.694519579410553
celebA-0,TopK 0.1,1.0,0.7212704420089722
celebA-0,TopK 0.1,1.0,0.7518284916877747
celebA-0,TopK 0.1,1.0,0.6819456815719604
celebA-0,TopK 0.5,0.1,0.8832782506942749
celebA-0,TopK 0.5,0.1,0.8530207276344299
celebA-0,TopK 0.5,0.1,0.7304879426956177
celebA-0,TopK 0.5,0.25,0.8721070289611816
celebA-0,TopK 0.5,0.25,0.8813745975494385
celebA-0,TopK 0.5,0.25,0.8786695003509521
celebA-0,TopK 0.5,0.5,0.7150586247444153
celebA-0,TopK 0.5,0.5,0.8618875741958618
celebA-0,TopK 0.5,0.5,0.8841298222541809
celebA-0,TopK 0.5,0.75,0.7917042374610901
celebA-0,TopK 0.5,0.75,0.7495741844177246
celebA-0,TopK 0.5,0.75,0.7614467740058899
celebA-0,TopK 0.5,1.0,0.7649534344673157
celebA-0,TopK 0.5,1.0,0.7577397227287292
celebA-0,TopK 0.5,1.0,0.7324416637420654
cifar_mnist,TopK 0.1,0.1,0.8040816187858582
cifar_mnist,TopK 0.1,0.1,0.6122449040412903
cifar_mnist,TopK 0.1,0.1,0.8265306353569031
cifar_mnist,TopK 0.1,0.25,0.8836734890937805
cifar_mnist,TopK 0.1,0.25,0.9071428775787354
cifar_mnist,TopK 0.1,0.25,0.6795918345451355
cifar_mnist,TopK 0.1,0.5,0.844897985458374
cifar_mnist,TopK 0.1,0.5,0.7785714268684387
cifar_mnist,TopK 0.1,0.5,0.7806122303009033
cifar_mnist,TopK 0.1,0.75,0.6438775658607483
cifar_mnist,TopK 0.1,0.75,0.7265306115150452
cifar_mnist,TopK 0.1,0.75,0.6428571343421936
cifar_mnist,TopK 0.1,1.0,0.8071428537368774
cifar_mnist,TopK 0.1,1.0,0.5979591608047485
cifar_mnist,TopK 0.1,1.0,0.7857142686843872
cifar_mnist,TopK 0.5,0.1,0.6795918345451355
cifar_mnist,TopK 0.5,0.1,0.7122448682785034
cifar_mnist,TopK 0.5,0.1,0.6459183692932129
cifar_mnist,TopK 0.5,0.25,0.7102040648460388
cifar_mnist,TopK 0.5,0.25,0.7642857432365417
cifar_mnist,TopK 0.5,0.25,0.827551007270813
cifar_mnist,TopK 0.5,0.5,0.8795918226242065
cifar_mnist,TopK 0.5,0.5,0.8928571343421936
cifar_mnist,TopK 0.5,0.5,0.9112244844436646
cifar_mnist,TopK 0.5,0.75,0.9255102276802063
cifar_mnist,TopK 0.5,0.75,0.9234693646430969
cifar_mnist,TopK 0.5,0.75,0.9142857193946838
cifar_mnist,TopK 0.5,1.0,0.8857142925262451
cifar_mnist,TopK 0.5,1.0,0.8857142925262451
cifar_mnist,TopK 0.5,1.0,0.9010204076766968
fmnist_mnist,TopK 0.1,0.1,0.9357143044471741
fmnist_mnist,TopK 0.1,0.1,0.9561224579811096
fmnist_mnist,TopK 0.1,0.1,0.9806122183799744
fmnist_mnist,TopK 0.1,0.25,0.9857142567634583
fmnist_mnist,TopK 0.1,0.25,0.9867346882820129
fmnist_mnist,TopK 0.1,0.25,0.981632649898529
fmnist_mnist,TopK 0.1,0.5,0.9581632614135742
fmnist_mnist,TopK 0.1,0.5,0.9857142567634583
fmnist_mnist,TopK 0.1,0.5,0.9642857313156128
fmnist_mnist,TopK 0.1,0.75,0.9765306115150452
fmnist_mnist,TopK 0.1,0.75,0.9704081416130066
fmnist_mnist,TopK 0.1,0.75,0.9642857313156128
fmnist_mnist,TopK 0.1,1.0,0.9030612111091614
fmnist_mnist,TopK 0.1,1.0,0.9622448682785034
fmnist_mnist,TopK 0.1,1.0,0.9704081416130066
fmnist_mnist,TopK 0.5,0.1,0.809183657169342
fmnist_mnist,TopK 0.5,0.1,0.9826530814170837
fmnist_mnist,TopK 0.5,0.1,0.7704081535339355
fmnist_mnist,TopK 0.5,0.25,0.8071428537368774
fmnist_mnist,TopK 0.5,0.25,0.8744897842407227
fmnist_mnist,TopK 0.5,0.25,0.9928571581840515
fmnist_mnist,TopK 0.5,0.5,0.9714285731315613
fmnist_mnist,TopK 0.5,0.5,0.9908163547515869
fmnist_mnist,TopK 0.5,0.5,0.9571428298950195
fmnist_mnist,TopK 0.5,0.75,0.9775510430335999
fmnist_mnist,TopK 0.5,0.75,0.9897959232330322
fmnist_mnist,TopK 0.5,0.75,0.9908163547515869
fmnist_mnist,TopK 0.5,1.0,0.9653061032295227
fmnist_mnist,TopK 0.5,1.0,0.9806122183799744
fmnist_mnist,TopK 0.5,1.0,0.9765306115150452
multi-nli,TopK 0.1,0.1,0.7127746343612671
multi-nli,TopK 0.1,0.1,0.7477623820304871
multi-nli,TopK 0.1,0.1,0.7111472487449646
multi-nli,TopK 0.1,0.25,0.7190805673599243
multi-nli,TopK 0.1,0.25,0.7084011435508728
multi-nli,TopK 0.1,0.25,0.708299458026886
multi-nli,TopK 0.1,0.5,0.7482709288597107
multi-nli,TopK 0.1,0.5,0.7420667409896851
multi-nli,TopK 0.1,0.5,0.7324044108390808
multi-nli,TopK 0.1,0.75,0.731997549533844
multi-nli,TopK 0.1,0.75,0.6713791489601135
multi-nli,TopK 0.1,0.75,0.7328112125396729
multi-nli,TopK 0.1,1.0,0.7329129576683044
multi-nli,TopK 0.1,1.0,0.7468470335006714
multi-nli,TopK 0.1,1.0,0.7399308085441589
multi-nli,TopK 0.5,0.1,0.7397274374961853
multi-nli,TopK 0.5,0.1,0.6870422959327698
multi-nli,TopK 0.5,0.1,0.7496948838233948
multi-nli,TopK 0.5,0.25,0.7307770252227783
multi-nli,TopK 0.5,0.25,0.7335231900215149
multi-nli,TopK 0.5,0.25,0.7569161653518677
multi-nli,TopK 0.5,0.5,0.7442026138305664
multi-nli,TopK 0.5,0.5,0.7443042993545532
multi-nli,TopK 0.5,0.5,0.768409252166748
multi-nli,TopK 0.5,0.75,0.7736981511116028
multi-nli,TopK 0.5,0.75,0.7636289596557617
multi-nli,TopK 0.5,0.75,0.747355580329895
multi-nli,TopK 0.5,1.0,0.7698332071304321
multi-nli,TopK 0.5,1.0,0.7765460014343262
multi-nli,TopK 0.5,1.0,0.7744100689888
toy_grid,TopK 0.1,0.1,1.0
toy_grid,TopK 0.1,0.1,1.0
toy_grid,TopK 0.1,0.1,1.0
toy_grid,TopK 0.1,0.25,1.0
toy_grid,TopK 0.1,0.25,1.0
toy_grid,TopK 0.1,0.25,1.0
toy_grid,TopK 0.1,0.5,1.0
toy_grid,TopK 0.1,0.5,1.0
toy_grid,TopK 0.1,0.5,1.0
toy_grid,TopK 0.1,0.75,1.0
toy_grid,TopK 0.1,0.75,1.0
toy_grid,TopK 0.1,0.75,1.0
toy_grid,TopK 0.1,1.0,1.0
toy_grid,TopK 0.1,1.0,1.0
toy_grid,TopK 0.1,1.0,1.0
toy_grid,TopK 0.5,0.1,0.9879999756813049
toy_grid,TopK 0.5,0.1,0.6759999990463257
toy_grid,TopK 0.5,0.1,0.7900000214576721
toy_grid,TopK 0.5,0.25,1.0
toy_grid,TopK 0.5,0.25,0.9779999852180481
toy_grid,TopK 0.5,0.25,1.0
toy_grid,TopK 0.5,0.5,1.0
toy_grid,TopK 0.5,0.5,1.0
toy_grid,TopK 0.5,0.5,1.0
toy_grid,TopK 0.5,0.75,1.0
toy_grid,TopK 0.5,0.75,1.0
toy_grid,TopK 0.5,0.75,1.0
toy_grid,TopK 0.5,1.0,1.0
toy_grid,TopK 0.5,1.0,1.0
toy_grid,TopK 0.5,1.0,1.0
waterbirds,TopK 0.1,0.1,0.8657231330871582
waterbirds,TopK 0.1,0.1,0.6401450037956238
waterbirds,TopK 0.1,0.1,0.8156713843345642
waterbirds,TopK 0.1,0.25,0.7656196355819702
waterbirds,TopK 0.1,0.25,0.6950293183326721
waterbirds,TopK 0.1,0.25,0.8096306324005127
waterbirds,TopK 0.1,0.5,0.6950293183326721
waterbirds,TopK 0.1,0.5,0.7947877049446106
waterbirds,TopK 0.1,0.5,0.8460476398468018
waterbirds,TopK 0.1,0.75,0.795995831489563
waterbirds,TopK 0.1,0.75,0.8462202548980713
waterbirds,TopK 0.1,0.75,0.78822922706604
