Dataset,Method,Mix_Rate,Accuracy
celebA-0,TopK 0.1,0.1,0.8101893663406372
celebA-0,TopK 0.1,0.1,0.8233643770217896
celebA-0,TopK 0.1,0.1,0.8809237480163574
celebA-0,TopK 0.1,0.25,0.880422830581665
celebA-0,TopK 0.1,0.25,0.8827772736549377
celebA-0,TopK 0.1,0.25,0.8638914227485657
celebA-0,TopK 0.1,0.5,0.7653541564941406
celebA-0,TopK 0.1,0.5,0.7587916851043701
celebA-0,TopK 0.1,0.5,0.8918945789337158
celebA-0,TopK 0.1,0.75,0.8866847157478333
celebA-0,TopK 0.1,0.75,0.8593828082084656
celebA-0,TopK 0.1,0.75,0.9054703712463379
celebA-0,TopK 0.1,1.0,0.8336840271949768
celebA-0,TopK 0.1,1.0,0.7437631487846375
celebA-0,TopK 0.1,1.0,0.8171024918556213
celebA-0,TopK 0.5,0.1,0.6819958090782166
celebA-0,TopK 0.5,0.1,0.654493510723114
celebA-0,TopK 0.5,0.1,0.9241058230400085
celebA-0,TopK 0.5,0.25,0.7189159393310547
celebA-0,TopK 0.5,0.25,0.8547239899635315
celebA-0,TopK 0.5,0.25,0.738753616809845
celebA-0,TopK 0.5,0.5,0.7829375863075256
celebA-0,TopK 0.5,0.5,0.854172945022583
celebA-0,TopK 0.5,0.5,0.862138032913208
celebA-0,TopK 0.5,0.75,0.8736098408699036
celebA-0,TopK 0.5,0.75,0.7475703954696655
celebA-0,TopK 0.5,0.75,0.88307785987854
celebA-0,TopK 0.5,1.0,0.8148983120918274
celebA-0,TopK 0.5,1.0,0.7791804671287537
celebA-0,TopK 0.5,1.0,0.7773770093917847
cifar_mnist,TopK 0.1,0.1,0.9989795684814453
cifar_mnist,TopK 0.1,0.1,0.9642857313156128
cifar_mnist,TopK 0.1,0.1,0.9989795684814453
cifar_mnist,TopK 0.1,0.25,1.0
cifar_mnist,TopK 0.1,0.25,1.0
cifar_mnist,TopK 0.1,0.25,0.954081654548645
cifar_mnist,TopK 0.1,0.5,1.0
cifar_mnist,TopK 0.1,0.5,0.9571428298950195
cifar_mnist,TopK 0.1,0.5,1.0
cifar_mnist,TopK 0.1,0.75,0.8948979377746582
cifar_mnist,TopK 0.1,0.75,1.0
cifar_mnist,TopK 0.1,0.75,0.8306122422218323
cifar_mnist,TopK 0.1,1.0,1.0
cifar_mnist,TopK 0.1,1.0,0.8979591727256775
cifar_mnist,TopK 0.1,1.0,0.9989795684814453
cifar_mnist,TopK 0.5,0.1,1.0
cifar_mnist,TopK 0.5,0.1,0.9959183931350708
cifar_mnist,TopK 0.5,0.1,1.0
cifar_mnist,TopK 0.5,0.25,0.8183673620223999
cifar_mnist,TopK 0.5,0.25,0.9255102276802063
cifar_mnist,TopK 0.5,0.25,0.9989795684814453
cifar_mnist,TopK 0.5,0.5,1.0
cifar_mnist,TopK 0.5,0.5,0.9989795684814453
cifar_mnist,TopK 0.5,0.5,1.0
cifar_mnist,TopK 0.5,0.75,1.0
cifar_mnist,TopK 0.5,0.75,1.0
cifar_mnist,TopK 0.5,0.75,1.0
cifar_mnist,TopK 0.5,1.0,1.0
cifar_mnist,TopK 0.5,1.0,1.0
cifar_mnist,TopK 0.5,1.0,1.0
fmnist_mnist,TopK 0.1,0.1,1.0
fmnist_mnist,TopK 0.1,0.1,0.9857142567634583
fmnist_mnist,TopK 0.1,0.1,0.9867346882820129
fmnist_mnist,TopK 0.1,0.25,1.0
fmnist_mnist,TopK 0.1,0.25,1.0
fmnist_mnist,TopK 0.1,0.25,1.0
fmnist_mnist,TopK 0.1,0.5,1.0
fmnist_mnist,TopK 0.1,0.5,1.0
fmnist_mnist,TopK 0.1,0.5,1.0
fmnist_mnist,TopK 0.1,0.75,1.0
fmnist_mnist,TopK 0.1,0.75,0.9989795684814453
fmnist_mnist,TopK 0.1,0.75,1.0
fmnist_mnist,TopK 0.1,1.0,1.0
fmnist_mnist,TopK 0.1,1.0,1.0
fmnist_mnist,TopK 0.1,1.0,1.0
fmnist_mnist,TopK 0.5,0.1,0.7867347002029419
fmnist_mnist,TopK 0.5,0.1,0.718367338180542
fmnist_mnist,TopK 0.5,0.1,0.9979591965675354
fmnist_mnist,TopK 0.5,0.25,0.9908163547515869
fmnist_mnist,TopK 0.5,0.25,0.9806122183799744
fmnist_mnist,TopK 0.5,0.25,0.9142857193946838
fmnist_mnist,TopK 0.5,0.5,0.9989795684814453
fmnist_mnist,TopK 0.5,0.5,1.0
fmnist_mnist,TopK 0.5,0.5,0.9806122183799744
fmnist_mnist,TopK 0.5,0.75,1.0
fmnist_mnist,TopK 0.5,0.75,1.0
fmnist_mnist,TopK 0.5,0.75,1.0
fmnist_mnist,TopK 0.5,1.0,1.0
fmnist_mnist,TopK 0.5,1.0,1.0
fmnist_mnist,TopK 0.5,1.0,0.9989795684814453
multi-nli,TopK 0.1,0.1,0.9856590628623962
multi-nli,TopK 0.1,0.1,0.9390764832496643
multi-nli,TopK 0.1,0.1,0.9980675578117371
multi-nli,TopK 0.1,0.25,0.9714198708534241
multi-nli,TopK 0.1,0.25,0.9928804039955139
multi-nli,TopK 0.1,0.25,0.9909479022026062
multi-nli,TopK 0.1,0.5,0.9610455632209778
multi-nli,TopK 0.1,0.5,0.948942244052887
multi-nli,TopK 0.1,0.5,0.966639518737793
multi-nli,TopK 0.1,0.75,0.980065107345581
multi-nli,TopK 0.1,0.75,0.9359235167503357
multi-nli,TopK 0.1,0.75,0.9851505160331726
multi-nli,TopK 0.1,1.0,0.984641969203949
multi-nli,TopK 0.1,1.0,0.9895240068435669
multi-nli,TopK 0.1,1.0,0.9790480136871338
multi-nli,TopK 0.5,0.1,0.827705442905426
multi-nli,TopK 0.5,0.1,0.9371440410614014
multi-nli,TopK 0.5,0.1,0.8122457265853882
multi-nli,TopK 0.5,0.25,0.8220097422599792
multi-nli,TopK 0.5,0.25,0.8282139897346497
multi-nli,TopK 0.5,0.25,0.8003458380699158
multi-nli,TopK 0.5,0.5,0.8734743595123291
multi-nli,TopK 0.5,0.5,0.923006534576416
multi-nli,TopK 0.5,0.5,0.9150732159614563
multi-nli,TopK 0.5,0.75,0.9210740327835083
multi-nli,TopK 0.5,0.75,0.8898494839668274
multi-nli,TopK 0.5,0.75,0.9149715304374695
multi-nli,TopK 0.5,1.0,0.9449756145477295
multi-nli,TopK 0.5,1.0,0.9588079452514648
multi-nli,TopK 0.5,1.0,0.9291090369224548
toy_grid,TopK 0.1,0.1,1.0
toy_grid,TopK 0.1,0.1,0.9940000176429749
toy_grid,TopK 0.1,0.1,1.0
toy_grid,TopK 0.1,0.25,1.0
toy_grid,TopK 0.1,0.25,0.9959999918937683
toy_grid,TopK 0.1,0.25,1.0
toy_grid,TopK 0.1,0.5,1.0
toy_grid,TopK 0.1,0.5,1.0
toy_grid,TopK 0.1,0.5,1.0
toy_grid,TopK 0.1,0.75,1.0
toy_grid,TopK 0.1,0.75,0.9980000257492065
toy_grid,TopK 0.1,0.75,1.0
toy_grid,TopK 0.1,1.0,1.0
toy_grid,TopK 0.1,1.0,1.0
toy_grid,TopK 0.1,1.0,1.0
toy_grid,TopK 0.5,0.1,0.777999997138977
toy_grid,TopK 0.5,0.1,0.9760000109672546
toy_grid,TopK 0.5,0.1,0.9639999866485596
toy_grid,TopK 0.5,0.25,1.0
toy_grid,TopK 0.5,0.25,0.9739999771118164
toy_grid,TopK 0.5,0.25,0.8619999885559082
toy_grid,TopK 0.5,0.5,1.0
toy_grid,TopK 0.5,0.5,0.9959999918937683
toy_grid,TopK 0.5,0.5,0.9980000257492065
toy_grid,TopK 0.5,0.75,1.0
toy_grid,TopK 0.5,0.75,0.9959999918937683
toy_grid,TopK 0.5,0.75,1.0
toy_grid,TopK 0.5,1.0,1.0
toy_grid,TopK 0.5,1.0,0.9959999918937683
toy_grid,TopK 0.5,1.0,1.0
waterbirds,TopK 0.1,0.1,0.8935105204582214
waterbirds,TopK 0.1,0.1,0.8077321648597717
waterbirds,TopK 0.1,0.1,0.8431135416030884
waterbirds,TopK 0.1,0.25,0.9073179364204407
waterbirds,TopK 0.1,0.25,0.9118053317070007
waterbirds,TopK 0.1,0.25,0.8938556909561157
waterbirds,TopK 0.1,0.5,0.8436313271522522
waterbirds,TopK 0.1,0.5,0.8765964508056641
waterbirds,TopK 0.1,0.5,0.8686572313308716
waterbirds,TopK 0.1,0.75,0.8458750247955322
waterbirds,TopK 0.1,0.75,0.8196409940719604
waterbirds,TopK 0.1,0.75,0.8990334868431091
waterbirds,TopK 0.1,1.0,0.8239558339118958
waterbirds,TopK 0.1,1.0,0.8864342570304871
waterbirds,TopK 0.1,1.0,0.8498446941375732
waterbirds,TopK 0.5,0.1,0.9159475564956665
waterbirds,TopK 0.5,0.1,0.8741801977157593
waterbirds,TopK 0.5,0.1,0.8671038746833801
waterbirds,TopK 0.5,0.25,0.9059371948242188
waterbirds,TopK 0.5,0.25,0.9083534479141235
waterbirds,TopK 0.5,0.25,0.884190559387207
waterbirds,TopK 0.5,0.5,0.9068001508712769
waterbirds,TopK 0.5,0.5,0.9187089800834656
waterbirds,TopK 0.5,0.5,0.9344149231910706
waterbirds,TopK 0.5,0.75,0.8902312517166138
waterbirds,TopK 0.5,0.75,0.8752157688140869
waterbirds,TopK 0.5,0.75,0.8950638771057129
waterbirds,TopK 0.5,1.0,0.8828098177909851
waterbirds,TopK 0.5,1.0,0.8546772599220276
waterbirds,TopK 0.5,1.0,0.8888505101203918
celebA-0,DBAT,0.1,0.7344454526901245
celebA-0,DBAT,0.1,0.7779280543327332
celebA-0,DBAT,0.1,0.7639514803886414
celebA-0,DBAT,0.25,0.8362388610839844
celebA-0,DBAT,0.25,0.8210600018501282
celebA-0,DBAT,0.25,0.7930567860603333
celebA-0,DBAT,0.5,0.7368500232696533
celebA-0,DBAT,0.5,0.7429616451263428
celebA-0,DBAT,0.5,0.7226229906082153
celebA-0,DBAT,0.75,0.8872858285903931
celebA-0,DBAT,0.75,0.8069331645965576
celebA-0,DBAT,0.75,0.8182547092437744
celebA-0,DBAT,1.0,0.6472798585891724
celebA-0,DBAT,1.0,0.7005811333656311
celebA-0,DBAT,1.0,0.6773870587348938
celebA-0,DivDis,0.1,0.6344554424285889
celebA-0,DivDis,0.1,0.7499248385429382
celebA-0,DivDis,0.1,0.6356577277183533
celebA-0,DivDis,0.25,0.603847324848175
celebA-0,DivDis,0.25,0.624035656452179
celebA-0,DivDis,0.25,0.7542330622673035
celebA-0,DivDis,0.5,0.5824065804481506
celebA-0,DivDis,0.5,0.5942791104316711
celebA-0,DivDis,0.5,0.5886183977127075
celebA-0,DivDis,0.75,0.6336539387702942
celebA-0,DivDis,0.75,0.6308987140655518
celebA-0,DivDis,0.75,0.7585412263870239
celebA-0,DivDis,1.0,0.8599338531494141
celebA-0,DivDis,1.0,0.6944193840026855
celebA-0,DivDis,1.0,0.8096883893013
celebA-0,ERM,0.1,0.8209598064422607
celebA-0,ERM,0.1,0.7915038466453552
celebA-0,ERM,0.1,0.7829375863075256
cifar_mnist,DBAT,0.1,1.0
cifar_mnist,DBAT,0.1,0.9989795684814452
cifar_mnist,DBAT,0.1,0.9989795684814452
cifar_mnist,DBAT,0.25,1.0
cifar_mnist,DBAT,0.25,0.9989795684814452
cifar_mnist,DBAT,0.25,1.0
cifar_mnist,DBAT,0.5,0.9989795684814452
cifar_mnist,DBAT,0.5,1.0
cifar_mnist,DBAT,0.5,0.9908163547515868
cifar_mnist,DBAT,0.75,1.0
cifar_mnist,DBAT,0.75,0.9989795684814452
cifar_mnist,DBAT,0.75,1.0
cifar_mnist,DBAT,1.0,1.0
cifar_mnist,DBAT,1.0,0.9989795684814452
cifar_mnist,DBAT,1.0,1.0
cifar_mnist,DivDis,0.1,1.0
cifar_mnist,DivDis,0.1,0.9785714149475098
cifar_mnist,DivDis,0.1,0.9265305995941162
cifar_mnist,DivDis,0.25,1.0
cifar_mnist,DivDis,0.25,1.0
cifar_mnist,DivDis,0.25,1.0
cifar_mnist,DivDis,0.5,0.9989795684814452
cifar_mnist,DivDis,0.5,1.0
cifar_mnist,DivDis,0.5,0.9989795684814452
cifar_mnist,DivDis,0.75,1.0
cifar_mnist,DivDis,0.75,1.0
cifar_mnist,DivDis,0.75,1.0
cifar_mnist,DivDis,1.0,0.9989795684814452
cifar_mnist,DivDis,1.0,0.9989795684814452
cifar_mnist,DivDis,1.0,1.0
cifar_mnist,ERM,0.1,1.0
cifar_mnist,ERM,0.1,1.0
cifar_mnist,ERM,0.1,1.0
fmnist_mnist,DBAT,0.1,0.9969387650489808
fmnist_mnist,DBAT,0.1,1.0
fmnist_mnist,DBAT,0.1,0.8540816307067871
fmnist_mnist,DBAT,0.25,0.994897961616516
fmnist_mnist,DBAT,0.25,0.9989795684814452
fmnist_mnist,DBAT,0.25,0.936734676361084
