Dataset,Method,Mix_Rate,Accuracy
celebA-0,TopK 0.1,0.1,0.8479360938072205
celebA-0,TopK 0.1,0.1,0.8521691262722015
celebA-0,TopK 0.1,0.1,0.8742109835147858
celebA-0,TopK 0.1,0.25,0.8500150442123413
celebA-0,TopK 0.1,0.25,0.845581591129303
celebA-0,TopK 0.1,0.25,0.8727081716060638
celebA-0,TopK 0.1,0.5,0.7873710095882416
celebA-0,TopK 0.1,0.5,0.7685602605342865
celebA-0,TopK 0.1,0.5,0.8189810514450073
celebA-0,TopK 0.1,0.75,0.860935777425766
celebA-0,TopK 0.1,0.75,0.7834134697914124
celebA-0,TopK 0.1,0.75,0.7999949753284454
celebA-0,TopK 0.1,1.0,0.7774772346019745
celebA-0,TopK 0.1,1.0,0.747795820236206
celebA-0,TopK 0.1,1.0,0.7495240867137909
celebA-0,TopK 0.5,0.1,0.7826370298862457
celebA-0,TopK 0.5,0.1,0.753757119178772
celebA-0,TopK 0.5,0.1,0.8272968828678131
celebA-0,TopK 0.5,0.25,0.7955114841461182
celebA-0,TopK 0.5,0.25,0.868049293756485
celebA-0,TopK 0.5,0.25,0.8087115585803986
celebA-0,TopK 0.5,0.5,0.7489981055259705
celebA-0,TopK 0.5,0.5,0.8580302596092224
celebA-0,TopK 0.5,0.5,0.8731339275836945
celebA-0,TopK 0.5,0.75,0.8326570391654968
celebA-0,TopK 0.5,0.75,0.7485722899436951
celebA-0,TopK 0.5,0.75,0.822262316942215
celebA-0,TopK 0.5,1.0,0.7899258732795715
celebA-0,TopK 0.5,1.0,0.7684600949287415
celebA-0,TopK 0.5,1.0,0.754909336566925
cifar_mnist,TopK 0.1,0.1,0.9015305936336517
cifar_mnist,TopK 0.1,0.1,0.7882653176784515
cifar_mnist,TopK 0.1,0.1,0.9127551019191742
cifar_mnist,TopK 0.1,0.25,0.9418367445468903
cifar_mnist,TopK 0.1,0.25,0.9535714387893677
cifar_mnist,TopK 0.1,0.25,0.8168367445468903
cifar_mnist,TopK 0.1,0.5,0.922448992729187
cifar_mnist,TopK 0.1,0.5,0.8678571283817291
cifar_mnist,TopK 0.1,0.5,0.8903061151504517
cifar_mnist,TopK 0.1,0.75,0.7693877518177032
cifar_mnist,TopK 0.1,0.75,0.8632653057575226
cifar_mnist,TopK 0.1,0.75,0.7367346882820129
cifar_mnist,TopK 0.1,1.0,0.9035714268684387
cifar_mnist,TopK 0.1,1.0,0.747959166765213
cifar_mnist,TopK 0.1,1.0,0.8923469185829163
cifar_mnist,TopK 0.5,0.1,0.8397959172725677
cifar_mnist,TopK 0.5,0.1,0.8540816307067871
cifar_mnist,TopK 0.5,0.1,0.8229591846466064
cifar_mnist,TopK 0.5,0.25,0.7642857134342194
cifar_mnist,TopK 0.5,0.25,0.844897985458374
cifar_mnist,TopK 0.5,0.25,0.9132652878761292
cifar_mnist,TopK 0.5,0.5,0.9397959113121033
cifar_mnist,TopK 0.5,0.5,0.9459183514118195
cifar_mnist,TopK 0.5,0.5,0.9556122422218323
cifar_mnist,TopK 0.5,0.75,0.9627551138401031
cifar_mnist,TopK 0.5,0.75,0.9617346823215485
cifar_mnist,TopK 0.5,0.75,0.9571428596973419
cifar_mnist,TopK 0.5,1.0,0.9428571462631226
cifar_mnist,TopK 0.5,1.0,0.9428571462631226
cifar_mnist,TopK 0.5,1.0,0.9505102038383484
fmnist_mnist,TopK 0.1,0.1,0.967857152223587
fmnist_mnist,TopK 0.1,0.1,0.9709183573722839
fmnist_mnist,TopK 0.1,0.1,0.9836734533309937
fmnist_mnist,TopK 0.1,0.25,0.9928571283817291
fmnist_mnist,TopK 0.1,0.25,0.9933673441410065
fmnist_mnist,TopK 0.1,0.25,0.9908163249492645
fmnist_mnist,TopK 0.1,0.5,0.9790816307067871
fmnist_mnist,TopK 0.1,0.5,0.9928571283817291
fmnist_mnist,TopK 0.1,0.5,0.9821428656578064
fmnist_mnist,TopK 0.1,0.75,0.9882653057575226
fmnist_mnist,TopK 0.1,0.75,0.984693855047226
fmnist_mnist,TopK 0.1,0.75,0.9821428656578064
fmnist_mnist,TopK 0.1,1.0,0.9515306055545807
fmnist_mnist,TopK 0.1,1.0,0.9811224341392517
fmnist_mnist,TopK 0.1,1.0,0.9852040708065033
fmnist_mnist,TopK 0.5,0.1,0.797959178686142
fmnist_mnist,TopK 0.5,0.1,0.8505102097988129
fmnist_mnist,TopK 0.5,0.1,0.8841836750507355
fmnist_mnist,TopK 0.5,0.25,0.8989796042442322
fmnist_mnist,TopK 0.5,0.25,0.9275510013103485
fmnist_mnist,TopK 0.5,0.25,0.9535714387893677
fmnist_mnist,TopK 0.5,0.5,0.9852040708065033
fmnist_mnist,TopK 0.5,0.5,0.9954081773757935
fmnist_mnist,TopK 0.5,0.5,0.968877524137497
fmnist_mnist,TopK 0.5,0.75,0.9887755215167999
fmnist_mnist,TopK 0.5,0.75,0.9948979616165161
fmnist_mnist,TopK 0.5,0.75,0.9954081773757935
fmnist_mnist,TopK 0.5,1.0,0.9826530516147614
fmnist_mnist,TopK 0.5,1.0,0.9903061091899872
fmnist_mnist,TopK 0.5,1.0,0.9877550899982452
multi-nli,TopK 0.1,0.1,0.8492168486118317
multi-nli,TopK 0.1,0.1,0.8434194326400757
multi-nli,TopK 0.1,0.1,0.8546074032783508
multi-nli,TopK 0.1,0.25,0.8452502191066742
multi-nli,TopK 0.1,0.25,0.8506407737731934
multi-nli,TopK 0.1,0.25,0.8496236801147461
multi-nli,TopK 0.1,0.5,0.8546582460403442
multi-nli,TopK 0.1,0.5,0.845504492521286
multi-nli,TopK 0.1,0.5,0.8495219647884369
multi-nli,TopK 0.1,0.75,0.8560313284397125
