Dataset,Method,Mix_Rate,Accuracy
celebA-0,DBAT,0.1,0.8526700735092163
celebA-0,DBAT,0.1,0.8400961756706238
celebA-0,DBAT,0.1,0.8707043528556824
celebA-0,DBAT,0.25,0.8196072578430176
celebA-0,DBAT,0.25,0.8848311901092529
celebA-0,DBAT,0.25,0.8318305015563965
celebA-0,DBAT,0.5,0.8588317632675171
celebA-0,DBAT,0.5,0.8650936484336853
celebA-0,DBAT,0.5,0.8936479091644287
celebA-0,DBAT,0.75,0.8397455215454102
celebA-0,DBAT,0.75,0.827923059463501
celebA-0,DBAT,0.75,0.8514177203178406
celebA-0,DBAT,1.0,0.7832381725311279
celebA-0,DBAT,1.0,0.8103897571563721
celebA-0,DBAT,1.0,0.7667568325996399
celebA-0,DivDis,0.1,0.6344554424285889
celebA-0,DivDis,0.1,0.7499248385429382
celebA-0,DivDis,0.1,0.6356577277183533
celebA-0,DivDis,0.25,0.603847324848175
celebA-0,DivDis,0.25,0.624035656452179
celebA-0,DivDis,0.25,0.7542330622673035
celebA-0,DivDis,0.5,0.5824065804481506
celebA-0,DivDis,0.5,0.5942791104316711
celebA-0,DivDis,0.5,0.5886183977127075
celebA-0,DivDis,0.75,0.6336539387702942
celebA-0,DivDis,0.75,0.6308987140655518
celebA-0,DivDis,0.75,0.7585412263870239
celebA-0,DivDis,1.0,0.8599338531494141
celebA-0,DivDis,1.0,0.6944193840026855
celebA-0,DivDis,1.0,0.8096883893013
celebA-0,ERM,0.1,0.8209598064422607
celebA-0,ERM,0.1,0.7915038466453552
celebA-0,ERM,0.1,0.7829375863075256
celebA-0,ERM,0.25,0.7997194528579712
celebA-0,ERM,0.25,0.78924959897995
celebA-0,ERM,0.25,0.8361386656761169
celebA-0,ERM,0.5,0.8474100828170776
celebA-0,ERM,0.5,0.734996497631073
celebA-0,ERM,0.5,0.7911031246185303
celebA-0,ERM,0.75,0.7272818088531494
celebA-0,ERM,0.75,0.7365995645523071
celebA-0,ERM,0.75,0.8749624490737915
celebA-0,ERM,1.0,0.8108906745910645
celebA-0,ERM,1.0,0.7843402624130249
celebA-0,ERM,1.0,0.8449554443359375
celebA-0,TopK 0.1,0.1,0.8459072113037109
celebA-0,TopK 0.1,0.1,0.8825268149375916
celebA-0,TopK 0.1,0.1,0.8736098408699036
celebA-0,TopK 0.1,0.25,0.9287646412849426
celebA-0,TopK 0.1,0.25,0.7926560640335083
celebA-0,TopK 0.1,0.25,0.9428414106369019
celebA-0,TopK 0.1,0.5,0.7907023429870605
celebA-0,TopK 0.1,0.5,0.8582807183265686
celebA-0,TopK 0.1,0.5,0.872607946395874
celebA-0,TopK 0.1,0.75,0.8351868391036987
celebA-0,TopK 0.1,0.75,0.8132451772689819
celebA-0,TopK 0.1,0.75,0.7724176049232483
celebA-0,TopK 0.1,1.0,0.8196072578430176
celebA-0,TopK 0.1,1.0,0.7798817753791809
celebA-0,TopK 0.1,1.0,0.8642921447753906
celebA-0,TopK 0.5,0.1,0.9067728519439697
celebA-0,TopK 0.5,0.1,0.9131349325180054
celebA-0,TopK 0.5,0.1,0.7831880450248718
celebA-0,TopK 0.5,0.25,0.9062218070030212
celebA-0,TopK 0.5,0.25,0.9297665357589722
celebA-0,TopK 0.5,0.25,0.9009117484092712
celebA-0,TopK 0.5,0.5,0.8802224397659302
celebA-0,TopK 0.5,0.5,0.9518084526062012
celebA-0,TopK 0.5,0.5,0.9442440867424011
celebA-0,TopK 0.5,0.75,0.940436840057373
celebA-0,TopK 0.5,0.75,0.926861047744751
celebA-0,TopK 0.5,0.75,0.9575192928314209
celebA-0,TopK 0.5,1.0,0.8549744486808777
celebA-0,TopK 0.5,1.0,0.7402564883232117
