Dataset,Method,Mix_Rate,Accuracy
celebA-0,DBAT,0.1,0.9842914342880249
celebA-0,DBAT,0.1,0.992591381072998
celebA-0,DBAT,0.1,0.9939839839935303
celebA-0,DBAT,0.25,0.9937054514884949
celebA-0,DBAT,0.25,0.992591381072998
celebA-0,DBAT,0.25,0.9942624568939209
celebA-0,DBAT,0.5,0.9931483864784241
celebA-0,DBAT,0.5,0.9922014474868774
celebA-0,DBAT,0.5,0.99058598279953
celebA-0,DBAT,0.75,0.9952651262283325
celebA-0,DBAT,0.75,0.9928141832351685
celebA-0,DBAT,0.75,0.9923685193061829
celebA-0,DBAT,1.0,0.9948195219039917
celebA-0,DBAT,1.0,0.9937611222267151
celebA-0,DBAT,1.0,0.9911430478096008
celebA-0,DivDis,0.1,0.9941510558128357
celebA-0,DivDis,0.1,0.989973247051239
celebA-0,DivDis,0.1,0.9904189109802246
celebA-0,DivDis,0.25,0.990028977394104
celebA-0,DivDis,0.25,0.9809492230415344
celebA-0,DivDis,0.25,0.9862967729568481
celebA-0,DivDis,0.5,0.9833444952964783
celebA-0,DivDis,0.5,0.9844028353691101
celebA-0,DivDis,0.5,0.9861297011375427
celebA-0,DivDis,0.75,0.9902517795562744
celebA-0,DivDis,0.75,0.9879122376441956
celebA-0,DivDis,0.75,0.9911430478096008
celebA-0,DivDis,1.0,0.9947081208229065
celebA-0,DivDis,1.0,0.9942624568939209
celebA-0,DivDis,1.0,0.9948195219039917
celebA-0,ERM,0.1,0.9955436587333679
celebA-0,ERM,0.1,0.9961563944816589
celebA-0,ERM,0.1,0.9961563944816589
celebA-0,ERM,0.25,0.9957664608955383
celebA-0,ERM,0.25,0.9950423240661621
celebA-0,ERM,0.25,0.9957107901573181
celebA-0,ERM,0.5,0.9950423240661621
celebA-0,ERM,0.5,0.9950980544090271
celebA-0,ERM,0.5,0.9957107901573181
celebA-0,ERM,0.75,0.9962677955627441
celebA-0,ERM,0.75,0.9957107901573181
celebA-0,ERM,0.75,0.9959335923194885
celebA-0,ERM,1.0,0.9949309229850769
celebA-0,ERM,1.0,0.9950423240661621
celebA-0,ERM,1.0,0.9952651262283325
celebA-0,TopK 0.1,0.1,0.9836786985397339
celebA-0,TopK 0.1,0.1,0.9795566201210022
celebA-0,TopK 0.1,0.1,0.9790552854537964
celebA-0,TopK 0.1,0.25,0.9939839839935303
celebA-0,TopK 0.1,0.25,0.9884692430496216
celebA-0,TopK 0.1,0.25,0.9916443824768066
celebA-0,TopK 0.1,0.5,0.9900846481323242
celebA-0,TopK 0.1,0.5,0.9927584528923035
celebA-0,TopK 0.1,0.5,0.9896390438079834
celebA-0,TopK 0.1,0.75,0.9759915471076965
celebA-0,TopK 0.1,0.75,0.9942067861557007
celebA-0,TopK 0.1,0.75,0.9839015007019043
celebA-0,TopK 0.1,1.0,0.98746657371521
celebA-0,TopK 0.1,1.0,0.9946523904800415
celebA-0,TopK 0.1,1.0,0.9942624568939209
celebA-0,TopK 0.5,0.1,0.979389488697052
celebA-0,TopK 0.5,0.1,0.9821189641952515
celebA-0,TopK 0.5,0.1,0.9861853718757629
celebA-0,TopK 0.5,0.25,0.9884135723114014
celebA-0,TopK 0.5,0.25,0.9797794222831726
celebA-0,TopK 0.5,0.25,0.9803921580314636
celebA-0,TopK 0.5,0.5,0.9942624568939209
celebA-0,TopK 0.5,0.5,0.9927584528923035
celebA-0,TopK 0.5,0.5,0.9895833134651184
celebA-0,TopK 0.5,0.75,0.990641713142395
celebA-0,TopK 0.5,0.75,0.9921457171440125
celebA-0,TopK 0.5,0.75,0.9880236387252808
celebA-0,TopK 0.5,1.0,0.9916443824768066
celebA-0,TopK 0.5,1.0,0.9923685193061829
celebA-0,TopK 0.5,1.0,0.9889705777168274
cifar_mnist,DBAT,0.1,0.9958333373069763
cifar_mnist,DBAT,0.1,1.0
cifar_mnist,DBAT,0.1,1.0
cifar_mnist,DBAT,0.25,1.0
cifar_mnist,DBAT,0.25,1.0
cifar_mnist,DBAT,0.25,1.0
cifar_mnist,DBAT,0.5,1.0
cifar_mnist,DBAT,0.5,1.0
cifar_mnist,DBAT,0.5,1.0
cifar_mnist,DBAT,0.75,1.0
cifar_mnist,DBAT,0.75,1.0
cifar_mnist,DBAT,0.75,1.0
cifar_mnist,DBAT,1.0,1.0
cifar_mnist,DBAT,1.0,1.0
cifar_mnist,DBAT,1.0,1.0
cifar_mnist,DivDis,0.1,1.0
cifar_mnist,DivDis,0.1,0.99609375
cifar_mnist,DivDis,0.1,0.9921875
cifar_mnist,DivDis,0.25,1.0
cifar_mnist,DivDis,0.25,1.0
cifar_mnist,DivDis,0.25,1.0
cifar_mnist,DivDis,0.5,1.0
cifar_mnist,DivDis,0.5,1.0
cifar_mnist,DivDis,0.5,1.0
cifar_mnist,DivDis,0.75,1.0
cifar_mnist,DivDis,0.75,1.0
cifar_mnist,DivDis,0.75,1.0
cifar_mnist,DivDis,1.0,1.0
cifar_mnist,DivDis,1.0,1.0
cifar_mnist,DivDis,1.0,1.0
cifar_mnist,ERM,0.1,1.0
cifar_mnist,ERM,0.1,1.0
cifar_mnist,ERM,0.1,1.0
cifar_mnist,ERM,0.25,1.0
cifar_mnist,ERM,0.25,1.0
cifar_mnist,ERM,0.25,1.0
cifar_mnist,ERM,0.5,1.0
cifar_mnist,ERM,0.5,1.0
cifar_mnist,ERM,0.5,1.0
cifar_mnist,ERM,0.75,1.0
cifar_mnist,ERM,0.75,1.0
cifar_mnist,ERM,0.75,1.0
cifar_mnist,ERM,1.0,1.0
cifar_mnist,ERM,1.0,1.0
cifar_mnist,ERM,1.0,1.0
cifar_mnist,TopK 0.1,0.1,0.984375
cifar_mnist,TopK 0.1,0.1,0.99609375
cifar_mnist,TopK 0.1,0.1,0.9921875
cifar_mnist,TopK 0.1,0.25,1.0
cifar_mnist,TopK 0.1,0.25,1.0
cifar_mnist,TopK 0.1,0.25,0.96484375
cifar_mnist,TopK 0.1,0.5,1.0
cifar_mnist,TopK 0.1,0.5,1.0
cifar_mnist,TopK 0.1,0.5,1.0
cifar_mnist,TopK 0.1,0.75,1.0
cifar_mnist,TopK 0.1,0.75,1.0
cifar_mnist,TopK 0.1,0.75,1.0
cifar_mnist,TopK 0.1,1.0,1.0
cifar_mnist,TopK 0.1,1.0,1.0
cifar_mnist,TopK 0.1,1.0,1.0
cifar_mnist,TopK 0.5,0.1,0.98046875
cifar_mnist,TopK 0.5,0.1,0.984375
