Dataset,Method,Mix_Rate,Accuracy
celebA-0,DBAT,0.1,0.2787959575653076
celebA-0,DBAT,0.1,0.31217363476753235
celebA-0,DBAT,0.1,0.2521756887435913
celebA-0,DBAT,0.25,0.3222222328186035
celebA-0,DBAT,0.25,0.22197194397449493
celebA-0,DBAT,0.25,0.23333333432674408
celebA-0,DBAT,0.5,0.2749052941799164
celebA-0,DBAT,0.5,0.2619023323059082
celebA-0,DBAT,0.5,0.20323538780212402
celebA-0,DBAT,0.75,0.28333333134651184
celebA-0,DBAT,0.75,0.30000001192092896
celebA-0,DBAT,0.75,0.23888888955116272
celebA-0,DBAT,1.0,0.2222222238779068
celebA-0,DBAT,1.0,0.284734308719635
celebA-0,DBAT,1.0,0.19668270647525787
celebA-0,DivDis,0.1,0.20000000298023224
celebA-0,DivDis,0.1,0.15000000596046448
celebA-0,DivDis,0.1,0.1666666716337204
celebA-0,DivDis,0.25,0.13333334028720856
celebA-0,DivDis,0.25,0.0833333358168602
celebA-0,DivDis,0.25,0.0833333358168602
celebA-0,DivDis,0.5,0.06111111119389534
celebA-0,DivDis,0.5,0.07222222536802292
celebA-0,DivDis,0.5,0.10000000149011612
celebA-0,DivDis,0.75,0.1111111119389534
celebA-0,DivDis,0.75,0.09444444626569748
celebA-0,DivDis,0.75,0.14444445073604584
celebA-0,DivDis,1.0,0.16111111640930176
celebA-0,DivDis,1.0,0.18333333730697632
celebA-0,DivDis,1.0,0.20555555820465088
celebA-0,ERM,0.1,0.2888889014720917
celebA-0,ERM,0.1,0.2222222238779068
celebA-0,ERM,0.1,0.25
celebA-0,ERM,0.25,0.22777777910232544
celebA-0,ERM,0.25,0.23333333432674408
celebA-0,ERM,0.25,0.23888888955116272
celebA-0,ERM,0.5,0.2777777910232544
celebA-0,ERM,0.5,0.18888889253139496
celebA-0,ERM,0.5,0.28333333134651184
celebA-0,ERM,0.75,0.23888888955116272
celebA-0,ERM,0.75,0.25555557012557983
celebA-0,ERM,0.75,0.23333333432674408
celebA-0,ERM,1.0,0.11666666716337204
